# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
7.75194 -10432.8 -10509.8 10617 188.786 -200 4.7 0
9.75194 -13221.3 -13308.6 13444.4 298.766 -200 4.7 0
11.7519 -16009.9 -16107.5 16271.9 433.879 -200 4.7 0
13.7519 -18798.4 -18906.4 19099.3 594.124 -200 4.7 0
15.7519 -21586.9 -21705.3 21926.7 779.502 -200 4.7 0
17.7519 -24375.4 -24504.1 24754.2 990.013 -200 4.7 0
19.7519 -27163.9 -27303 27581.6 1225.66 -200 4.7 0
21.7519 -29952.5 -30101.9 30409 1486.43 -200 4.7 0
23.7519 -32741 -32900.7 33236.5 1772.34 -200 4.7 0
25.7519 -35529.5 -35699.6 36063.9 2083.38 -200 4.7 0
27.7519 -38318 -38498.5 38891.3 2419.56 -200 4.7 0
29.7519 -41106.5 -41297.4 41718.7 2780.87 -200 4.7 0
