# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
7.75194 -10517 -10509.8 10617 188.786 4.6 -200 0
9.75194 -13347.4 -13308.6 13444.4 298.766 4.6 -200 0
11.7519 -16177.7 -16107.5 16271.9 433.879 4.6 -200 0
13.7519 -19008 -18906.4 19099.3 594.124 4.6 -200 0
15.7519 -21838.3 -21705.3 21926.7 779.502 4.6 -200 0
17.7519 -24668.7 -24504.1 24754.2 990.013 4.6 -200 0
19.7519 -27499 -27303 27581.6 1225.66 4.6 -200 0
21.7519 -30329.3 -30101.9 30409 1486.43 4.6 -200 0
23.7519 -33159.6 -32900.7 33236.5 1772.34 4.6 -200 0
25.7519 -35989.9 -35699.6 36063.9 2083.38 4.6 -200 0
27.7519 -38820.2 -38498.5 38891.3 2419.56 4.6 -200 0
29.7519 -41650.5 -41297.4 41718.7 2780.87 4.6 -200 0
